Country,University,City/Region,Course Archetype,Notes,Quality_0_3,Scale_0_3,Employability_0_3,GeoFit_0_2
Brazil,PUC-Rio – DI,Rio de Janeiro,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,2,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-Rio – DI,Rio de Janeiro,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,3,2,2
Brazil,PUC-SP – TEC,São Paulo,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,2,2
Brazil,PUC-SP – TEC,São Paulo,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,2
Brazil,PUC-SP – TEC,São Paulo,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UECE – MATE/COMP,Fortaleza,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UECE – MATE/COMP,Fortaleza,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UECE – MATE/COMP,Fortaleza,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UECE – MATE/COMP,Fortaleza,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UECE – MATE/COMP,Fortaleza,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UECE – MATE/COMP,Fortaleza,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UERJ – IME,Rio de Janeiro,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UERJ – IME,Rio de Janeiro,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UERJ – IME,Rio de Janeiro,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UERJ – IME,Rio de Janeiro,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UERJ – IME,Rio de Janeiro,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,2
Brazil,UERJ – IME,Rio de Janeiro,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,2
Brazil,UERJ – IME,Rio de Janeiro,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UERJ – IME,Rio de Janeiro,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UFABC – CMCC/CECS,Santo André,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFABC – CMCC/CECS,Santo André,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFABC – CMCC/CECS,Santo André,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFABC – CMCC/CECS,Santo André,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFABC – CMCC/CECS,Santo André,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFABC – CMCC/CECS,Santo André,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFAL – IC/Eng,Maceió,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFAL – IC/Eng,Maceió,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFAL – IC/Eng,Maceió,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFAL – IC/Eng,Maceió,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFAL – IC/Eng,Maceió,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFAL – IC/Eng,Maceió,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFBA – DCC,Salvador,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFBA – DCC,Salvador,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFBA – DCC,Salvador,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFBA – DCC,Salvador,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFBA – DCC,Salvador,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFBA – DCC,Salvador,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFBA – DCC,Salvador,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFC – DC/Eng,Fortaleza,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFC – DC/Eng,Fortaleza,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFC – DC/Eng,Fortaleza,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFC – DC/Eng,Fortaleza,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFC – DC/Eng,Fortaleza,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFC – DC/Eng,Fortaleza,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFC – DC/Eng,Fortaleza,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFCG – CEEI,Campina Grande,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFCG – CEEI,Campina Grande,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFCG – CEEI,Campina Grande,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFES – CCE/Eng,Vitória,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFES – CCE/Eng,Vitória,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFES – CCE/Eng,Vitória,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFES – CCE/Eng,Vitória,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFES – CCE/Eng,Vitória,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFES – CCE/Eng,Vitória,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFES – CCE/Eng,Vitória,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFES – CCE/Eng,Vitória,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFF – TCC/IC,Niterói,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFF – TCC/IC,Niterói,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFF – TCC/IC,Niterói,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFF – TCC/IC,Niterói,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFF – TCC/IC,Niterói,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFF – TCC/IC,Niterói,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFF – TCC/IC,Niterói,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFG – INF/Eng,Goiânia,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFG – INF/Eng,Goiânia,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFG – INF/Eng,Goiânia,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFG – INF/Eng,Goiânia,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFG – INF/Eng,Goiânia,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFG – INF/Eng,Goiânia,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFG – INF/Eng,Goiânia,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFMA – CCSo/Eng,São Luís,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMA – CCSo/Eng,São Luís,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMA – CCSo/Eng,São Luís,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMA – CCSo/Eng,São Luís,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMA – CCSo/Eng,São Luís,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMA – CCSo/Eng,São Luís,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMA – CCSo/Eng,São Luís,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMG – ICEx/Eng,Belo Horizonte,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFMS – FACOM,Campo Grande,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMS – FACOM,Campo Grande,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMS – FACOM,Campo Grande,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMS – FACOM,Campo Grande,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMS – FACOM,Campo Grande,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMS – FACOM,Campo Grande,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMS – FACOM,Campo Grande,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMT – IC/Eng,Cuiabá,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMT – IC/Eng,Cuiabá,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMT – IC/Eng,Cuiabá,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFMT – IC/Eng,Cuiabá,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFMT – IC/Eng,Cuiabá,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMT – IC/Eng,Cuiabá,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFMT – IC/Eng,Cuiabá,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFOP – ICEB,Ouro Preto,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFOP – ICEB,Ouro Preto,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFOP – ICEB,Ouro Preto,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFOP – ICEB,Ouro Preto,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFOP – ICEB,Ouro Preto,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFOP – ICEB,Ouro Preto,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFOP – ICEB,Ouro Preto,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFPA – IComp,Belém,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFPA – IComp,Belém,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFPA – IComp,Belém,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFPA – IComp,Belém,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFPA – IComp,Belém,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFPA – IComp,Belém,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFPB – CCT/CCEN,João Pessoa,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFPE – CIn,Recife,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,UFPE – CIn,Recife,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,UFPE – CIn,Recife,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,UFPE – CIn,Recife,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,UFPE – CIn,Recife,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,UFPE – CIn,Recife,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,UFPE – CIn,Recife,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,UFPE – CIn,Recife,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,UFPR – DInf,Curitiba,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,UFPR – DInf,Curitiba,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,UFPR – DInf,Curitiba,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,2
Brazil,UFPR – DInf,Curitiba,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,UFPR – DInf,Curitiba,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,2
Brazil,UFPR – DInf,Curitiba,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRGS – INF/Eng,Porto Alegre,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,2,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRJ – IM/Eng,Rio de Janeiro,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,2
Brazil,UFRN – DIMAp/Eng,Natal,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFRN – DIMAp/Eng,Natal,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFRN – DIMAp/Eng,Natal,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFRN – DIMAp/Eng,Natal,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFRN – DIMAp/Eng,Natal,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFRN – DIMAp/Eng,Natal,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,2,1
Brazil,UFRN – DIMAp/Eng,Natal,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFRN – DIMAp/Eng,Natal,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,3,2,3,1
Brazil,UFRPE – UACSA,Recife,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UFRPE – UACSA,Recife,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UFRPE – UACSA,Recife,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UFRPE – UACSA,Recife,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UFRPE – UACSA,Recife,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,2
Brazil,UFRPE – UACSA,Recife,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,2
Brazil,UFRPE – UACSA,Recife,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,2
Brazil,UFRPE – UACSA,Recife,Statistics (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,2
Brazil,UFS – DCOMP,Aracaju,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFS – DCOMP,Aracaju,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFS – DCOMP,Aracaju,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,1,3,1
Brazil,UFS – DCOMP,Aracaju,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFS – DCOMP,Aracaju,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFS – DCOMP,Aracaju,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,2,1
Brazil,UFS – DCOMP,Aracaju,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,1,3,1
Brazil,UFSC – CTC/INE,Florianópolis,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,1
Brazil,UFSC – CTC/INE,Florianópolis,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,1
Brazil,UFSC – CTC/INE,Florianópolis,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,3,3,3,1
Brazil,UFSC – CTC/INE,Florianópolis,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,2,3,2,1
Brazil,UFSC – CTC/INE,Florianópolis,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,2,1
Brazil,UFSC – CTC/INE,Florianópolis,Software Engineering (BEng),Heuristic simple scores; adjust when you have better data.,2,3,3,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Computer Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Computer Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Data Science (BSc),Heuristic simple scores; adjust when you have better data.,2,2,3,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Industrial Engineering – Data/Analytics (BEng),Heuristic simple scores; adjust when you have better data.,1,2,3,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Information Systems (BSc),Heuristic simple scores; adjust when you have better data.,1,2,2,1
Brazil,UFSCar – DC/UFSCar,São Carlos,Production Engineering (BEng),Heuristic simple scores; adjust when you have better data.,1,2,2,1
